full_text,Label,predicted_label
"['marah', 'sm', 'si', 'anjing', 'sakit', 'hati', 'gara', 'si', 'anjg', 'pengin', 'peluk', 'hn', 'ngarep', 'sm', 'sencol', 'sencol', 'jan', 'jawab', 'aneh', 'ya', 'sencol', 'kasihan', 'hn', 'akðÿº']",NoBully,NoBully
"['emg', 'kntol', 'dh', 'lu', 'smw', 'anjing']",NoBully,NoBully
"['mampus', 'anjing']",NoBully,NoBully
"['pagi', 'pagi', 'udah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lu', 'sini', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",Bully,Bully
['anjing'],NoBully,NoBully
"['anjing', 'latto', 'ðÿ', 'kaget', 'aing']",NoBully,NoBully
"['kek', 'anjing', 'kenapa', 'elu', 'bisa', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'tapi', 'giliran', 'gw', 'yg', 'ngomong', 'jahat', 'elu', 'koar', 'koar', 'ngatain', 'gw', 'baperan', 'sensi', 'ga', 'ngerti', 'jokes', 'gobloog', 'your', 'jokes', 'is', 'making', 'fun', 'of', 'my', 'physique', 'and', 'my', 'looks']",NoBully,NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['yg', 'lbh', 'bajingan', 'justru', 'mrk', 'yg', 'menjadikan', 'anjing', 'china', 'jadi', 'polisi']",NoBully,NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['cina', 'anjing']",NoBully,NoBully
"['her', 'marah', 'and', 'literally', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'me', 'minta', 'maaf', 'berkali', 'kali', 'pdhl', 'bkn', 'gw', 'yg', 'salah', 'week', 'later', 'me', 'cmn', 'ngmong', 'jokes', 'lu', 'ga', 'lucu', 'anjing', 'gw', 'tersinggung', 'her', 'apa', 'sih', 'tot', 'sensi', 'amat', 'baperan', 'jokes', 'doang', 'lagian']",NoBully,NoBully
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'amatðÿµðÿ', 'giliran', 'di', 'ulti', 'sm', 'mew', 'ciut', 'lu', 'muntahhhâ']",Bully,Bully
"['semoga', 'dikasih', 'mimpi', 'dikejar', 'anjing']",NoBully,NoBully
"['tulis', 'aja', 'langsung', 'anak', 'arab', 'anjing', 'lama', 'banget', 'lo', 'ngespil', 'gitu', 'aja', 'nyet']",NoBully,NoBully
"['sapa', 'nk', 'dgr', 'salakan', 'raja', 'anjing', 'bangsat', 'gila', 'sb', 'dedak', 'babi', 'nk', 'abisâpukimak', 'kau', 'sialâðÿðÿðÿðÿðÿðÿ']",NoBully,NoBully
"['cina', 'anjing']",NoBully,NoBully
"['gua', 'mutermuter', 'kayak', 'org', 'tolol', 'anjing', 'kayaknye', 'efek', 'earring', 'ðÿ']",NoBully,NoBully
"['bangsat', 'anjing', 'bilang', 'aja', 'lu', 'gak', 'mau', 'belikan', 'gw']",NoBully,NoBully
['anjing'],NoBully,NoBully
"['anjing', 'gue', 'cemburu']",NoBully,NoBully
"['gwe', 'wanti', 'wanti', 'banget', 'ya', 'anjing', 'biar', 'gak', 'brengsek', 'ternyata', 'gue', 'yang', 'kena', 'kontwol']",NoBully,NoBully
"['betul', 'tinggal', 'dibersihkan', 'lagi', 'pula', 'salah', 'apa', 'juga', 'si', 'anjing', 'itu']",NoBully,NoBully
"['gebrakan', 'apa', 'ini', 'gue', 'baru', 'bangun', 'anjing']",NoBully,NoBully
"['aku', 'uninstal', 'monopolygo', 'sbelum', 'dia', 'kecoh', 'israel', 'lagi', 'aku', 'koyak', 'masa', 'spin', 'event', 'kek', 'bodoh', 'tudeal', 'bnyak', 'dia', 'bagi', 'ciput', 'sampai', 'dadu', 'habis', 'anjing', 'punye', 'game']",NoBully,NoBully
"['pas', 'yg', 'terakhir', 'otomatis', 'ngomong', 'anjing', 'bangsat']",NoBully,NoBully
"['tapi', 'sumpah', 'ini', 'lucu', 'banget', 'anjing', 'hahahhahahaha']",NoBully,NoBully
"['result', 'brazil', 'night', 'pools', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['kaget', 'anjir', 'tiba', 'tiba', 'mantan', 'buka', 'pintu', 'kost', 'mana', 'cuman', 'pake', 'cd', 'anjing']",NoBully,NoBully
"['gila', 'gue', 'kek', 'mama', 'muda', 'jam', 'anjing', 'gue', 'nangis', 'gara', 'kedinginanðÿšðÿ']",NoBully,NoBully
"['konyol', 'anjing', 'harusnya', 'lo', 'hidup', 'bareng', 'badut', 'it', 'aja', 'anjir', 'dia', 'kan', 'ketawa', 'terus']",NoBully,NoBully
"['gabisa', 'anjing', 'gue', 'gabisaðÿðÿðÿðÿðÿµðÿ']",NoBully,NoBully
"['result', 'cambodia', 'night', 'pools', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['fak', 'anjing', 'hahahahahah']",NoBully,NoBully
"['allah', 'tuh', 'adil', 'kadang', 'sesuatu', 'yg', 'hina', 'di', 'mata', 'manusia', 'bisa', 'berbeda', 'di', 'mata', 'allah', 'ingat', 'pernah', 'ada', 'seorang', 'pelacur', 'yg', 'masuk', 'surga', 'gegara', 'memberi', 'minum', 'anjing', 'sebelum', 'meninggal', 'kita', 'ga', 'pernah', 'tau', 'ending', 'setiap', 'orang', 'itu', 'bagaimana', 'jadi', 'jangan', 'asal', 'jadi', 'hakim', 'bagi', 'saudaramu']",NoBully,NoBully
"['anjing', 'mau', 'ketemu', 'renjun', 'bangsat']",NoBully,NoBully
"['gw', 'jg', 'anjing']",NoBully,NoBully
"['anjing', 'gw', 'mau']",NoBully,NoBully
"['galang', 'anjing', 'babi', 'bangsat', 'taik', 'kucing', 'lu', 'galang', 'anjing', 'gue', 'doain', 'tuh', 'kontol', 'gak', 'bisa', 'muncrat', 'lagi', 'taik']",NoBully,NoBully
"['lu', 'mendingan', 'kawin', 'sama', 'anjing', 'aja', 'dah', 'nanti', 'anaknya', 'menggongong', 'ga', 'nangis']",Bully,Bully
"['anjing', 'gue', 'udh', 'kaget']",NoBully,NoBully
"['gada', 'yg', 'pduli', 'anjing']",NoBully,NoBully
"['anjing', 'karina', 'secakep', 'ini', 'smlm']",NoBully,NoBully
"['aduh', 'gw', 'stuck', 'disini', 'bermenit', 'menit', 'pedih', 'pasti', 'lu', 'suka', 'banget', 'yak', 'sampe', 'berjuang', 'segitunya', 'tapi', 'lu', 'bego', 'sih', 'huhuhu', 'anjing', 'mau', 'sama', 'gua', 'aja', 'gakðÿ', 'tapi', 'gua', 'burik', 'kak', 'part', 'duaðÿ']",NoBully,NoBully
"['prediksi', 'togel', 'sydney', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully,NoBully
"['obatku', 'anjing', 'gede', 'semua']",NoBully,NoBully
"['bln', 'menhilang', 'dan', 'dtng', 'lagibginila', 'hukum', 'alam', 'datang', 'dan', 'prgdasar', 'anjinguda', 'capek', 'ma', 'tulus', 'dan', 'stia', 'sama', 'dia', 'mala', 'dia', 'hilang', 'pas', 'dtng', 'lagi', 'dgn', 'ucpan', 'manis', 'nya', 'anjinguda', 'enak', 'jomblo', 'meskipun', 'kesepianðÿœorang', 'yg', 'tinggalkan', 'sya', 'pasti', 'mnyesal', 'ðÿšðÿ']",NoBully,NoBully
"['brengsek', 'lu', 'miya', 'gye', 'nangis', 'pagipagi', 'anjing']",NoBully,NoBully
['anjing'],NoBully,NoBully
"['anjing', 'gue', 'cape', 'cinta', 'sendri', 'gue', 'males', 'sama', 'dia', 'orng', 'gue', 'jadi', 'kesel', 'sumpah', 'gue', 'bete', 'prh', 'anjjjjjh']",NoBully,NoBully
"['anjing', 'ketawa', 'bgt']",NoBully,NoBully
"['tai', 'anjing']",NoBully,NoBully
"['parah', 'anjing', 'parah', 'noooðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿ']",NoBully,NoBully
"['terjerat', 'jaring', 'bayi', 'anjing', 'laut', 'diselamatkan', 'di', 'afsel']",NoBully,NoBully
"['tau', 'anjing', 'kenapa', 'ya']",NoBully,NoBully
"['tanyarl', 'kan', 'ada', 'tuh', 'namanya', 'nasi', 'kucing', 'meskipun', 'ga', 'pake', 'daging', 'kucing', 'kl', 'aku', 'jual', 'nmanya', 'nasi', 'anjing', 'boleh', 'ga', 'si', 'nama', 'aja', 'ga', 'pake', 'dging', 'anjing', 'beneran']",NoBully,NoBully
"['bodoh', 'tolol', 'anjing', 'bangsat', 'goblok', 'ucap', 'diriku', 'kpd', 'diriku']",NoBully,NoBully
"['hampir', 'juta', 'sebulan', 'cuma', 'buat', 'beli', 'kopi', 'doang', 'anjing', 'lah', 'pantes', 'agak', 'miskin', 'setiap', 'akhir', 'bulan']",NoBully,NoBully
"['emang', 'anjing', 'baru', 'sadar', 'kh', 'u', 'ðÿ']",Bully,NoBully
"['kontol', 'lu', 'anjing', 'bangsat', 'gw', 'belom', 'cair', 'dari', 'tip', 'malah', 'cepu', 'goblok']",NoBully,NoBully
"['wekwan', 'anjing', 'emang']",NoBully,NoBully
"['bangsat', 'baru', 'ijo', 'anjing', 'gausah', 'klakson', 'gak', 'bisa', 'naik', 'motor', 'belajar', 'dulu', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'ini', 'buat', 'apa', 'dah', 'ya', 'allah', 'kenapa', 'sih', 'orang', 'orang', 'bego', 'kaya', 'gini', 'dikasih', 'motor']",Bully,Bully
"['anjing', 'banget', 'setiap', 'hari', 'minggu', 'kenapa', 'gampang', 'banget', 'bangun', 'pagi', 'giliran', 'hari', 'kerja', 'susah', 'banget', 'ampun']",NoBully,NoBully
"['anjing', 'lu', 'hisung', 'cemburu', 'kekâï']",NoBully,NoBully
"['kampret', 'gua', 'iri', 'banget', 'anjinggðÿ']",NoBully,NoBully
"['gue', 'dari', 'tadi', 'fokus', 'nonton', 'bngt', 'sampe', 'mikirin', 'ini', 'd', 'apa', 'anjing', 'gue', 'jadi', 'dag', 'dig', 'dug', 'ser']",NoBully,NoBully
"['anjing', 'kurap', 'lagi', 'lapar', 'ya']",NoBully,NoBully
"['bacot', 'sia', 'ngentot', 'kalo', 'panas', 'mah', 'panas', 'aja', 'anjing']",NoBully,NoBully
"['sicepat', 'bener', 'bener', 'ya', 'anjing', 'ekspedisi', 'sampah', 'dr', 'semua', 'ekspedisi', 'di', 'indonesia', 'cuma', 'si', 'cepat', 'aja', 'yg', 'lemotnya', 'bukan', 'maen', 'mana', 'barangnya', 'keburu', 'dipake', 'eh', 'ini', 'malah', 'cris', 'cros', 'segala', 'anjeng', 'anjengðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿ']",NoBully,NoBully
"['minimal', 'nanya', 'goblok', 'kalo', 'gatau', 'bukan', 'malah', 'jadi', 'bikin', 'indo', 'di', 'ban', 'lu', 'tolol', 'punya', 'otak', 'ga', 'di', 'pake', 'komunitas', 'negara', 'india', 'mah', 'kompak', 'bukan', 'malah', 'cepuin', 'negara', 'sendiri', 'babi', 'gua', 'baru', 'garap', 'round', 'ini', 'kontol', 'lu', 'anjing']",Bully,Bully
"['babi', 'ternyata', 'ketauan', 'anjing', 'kalau', 'ngesave', 'video', 'orang', 'di', 'tiktok', 'ðÿ']",NoBully,NoBully
"['minggu', 'juga', 'lonte', 'anjing', 'jalang']",Bully,Bully
"['jilat', 'terus', 'sampe', 'ke', 'daki', 'kuku', 'buzzer', 'anjing', 'pemerintah', 'kasi', 'makan', 'anak', 'bini', 'lu', 'pake', 'uang', 'panas']",NoBully,NoBully
"['ini', 'nder', 'yang', 'aku', 'baca', 'âœmisuh', 'pake', 'hangeul', 'aja', 'kali', 'ya', 'asu', 'kalian', 'jancuk', 'anak', 'setan', 'tai', 'anjing', 'babiâ']",NoBully,NoBully
"['mahluk', 'apa', 'anjing', 'ituðÿ']",NoBully,NoBully
"['blio', 'kan', 'tipe', 'orang', 'yang', 'kalo', 'orang', 'lain', 'nuding', 'blio', 'tu', 'blio', 'bodo', 'amat', 'kayak', 'anjing', 'menggonggong', 'kafilah', 'berlalu', 'tapi', 'kalo', 'sampe', 'nyentuh', 'anaknya', 'tu', 'berarti', 'lu', 'membangunkan', 'singa', 'tidur', 'ini', 'keadaan', 'udah', 'ga', 'enak', 'banget', 'sampe', 'ditegur', 'ama', 'orang', 'yang', 'ga', 'suka', 'marah', 'kayak', 'blio']",NoBully,NoBully
"['emosi', 'emosi', 'bgt', 'anjing']",NoBully,NoBully
"['anjing', 'jujur', 'ak', 'kaget', 'bgt', 'tadi', 'bacanyaðÿðÿ']",NoBully,NoBully
"['oalah', 'anjing', 'ternyata', 'gajadi', 'cover', 'ðÿðÿðÿðÿðÿðÿ']",NoBully,NoBully
"['anjing', 'gue', 'baru', 'bangun', 'semalem', 'sm', 'anak', 'gc', 'baru', 'ngomongin', 'buat', 'minnta', 'spil', 'something', 'sm', 'pakinsatang', 'ga', 'nyangka', 'lgsg', 'di', 'kabulin', 'sialan', 'mana', 'baru', 'ngomongin', 'ciuman', 'gemfot', 'juga', 'ðÿ']",NoBully,NoBully
"['ga', 'ada', 'anjing', 'itu', 'becanda', 'doanb']",NoBully,NoBully
"['wkwk', 'keluarga', 'anjing']",NoBully,NoBully
"['kata', 'orang', 'kalo', 'kita', 'sering', 'ditempel', 'dan', 'dideketin', 'hewan', 'kayak', 'kucing', 'sama', 'anjing', 'random', 'artinya', 'aura', 'kita', 'positif', 'apa', 'auraku', 'positif', 'hm']",NoBully,NoBully
"['mau', 'piara', 'anjing', 'husky']",NoBully,NoBully
"['kmu', 'tu', 'lucu', 'tp', 'kaya', 'anjing']",NoBully,NoBully
"['garagara', 'celeng', 'bikin', 'garis', 'seenaknya', 'anjing', 'masuk']",NoBully,NoBully
"['wkwk', 'kalo', 'yang', 'ngejarnya', 'anjing', 'kan', 'takut']",NoBully,NoBully
"['jla', 'anjing', 'jla', 'plis', 'bru', 'inget', 'kalo', 'nge', 'an', 'fol', 'kapi', 'rak', 'sih', 'mergo', 'kapi', 'rak', 'polbek', 'n', 'now']",NoBully,NoBully
"['intel', 'anjing', 'bangsat', 'taik', 'babi', 'provokasi', 'busuk']",NoBully,NoBully
"['keluarga', 'elu', 'anjing', 'kapir', 'monyetðÿðÿðÿ']",Bully,Bully
"['prediksi', 'togel', 'leeds', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully,NoBully
['anjing'],NoBully,NoBully
"['orang', 'tua', 'kalo', 'udah', 'puber', 'kedua', 'memang', 'anjing', 'banget']",NoBully,NoBully
"['allegri', 'anjing']",NoBully,NoBully
"['bentukan', 'jijel', 'sama', 'jeno', 'dari', 'belakang', 'begini', 'anjing', 'gila', 'emg', 'perfect', 'body', 'bgtðÿðÿðÿðÿðÿðÿ']",NoBully,NoBully
"['anjing', 'adam', 'gua', 'kesel', 'sama', 'lo', 'ðÿðÿðÿ', 'plis', 'semoga', 'ini', 'mimpinya', 'jefa', 'doangðÿðÿðÿ', 'sumpah', 'kesel', 'bgt', 'adam', 'pdahal', 'gua', 'di', 'pihak', 'lo', 'njir', 'ðÿðÿ', 'info', 'tampol', 'adam', 'dong', 'gua', 'kesel', 'sampai', 'nangis', 'ðÿðÿðÿ']",NoBully,NoBully
"['happy', 'birthday', 'beautiful', 'anjing', 'happy', 'birthday', 'anji']",NoBully,NoBully
"['iqbal', 'anjing']",NoBully,NoBully
"['prediksi', 'togel', 'dewata', 'pools', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully,NoBully
"['hahahah', 'ril', 'anjing']",NoBully,NoBully
"['mimpi', 'ditunjuk', 'bu', 'etik', 'ngerjain', 'soal', 'matematika', 'di', 'depan', 'kelas', 'bangun', 'lngsng', 'lemes', 'anjingðÿ']",NoBully,NoBully
"['gapapa', 'gue', 'happy', 'bgt', 'anjing', 'gue', 'gaboleh', 'sedih', 'pokonnya']",NoBully,NoBully
"['wkwkwk', 'ketawa', 'banget', 'anjing', 'dulu', 'aja', 'ngatain', 'jm', 'masuk', 'trending', 'cuma', 'karena', 'ga', 'shipper', 'hadah', 'makan', 'noh', 'trending']",NoBully,NoBully
"['please', 'gue', 'juga', 'cape', 'cape', 'bgt', 'anjing', 'bangsat', 'tai', 'babi', 'monyet']",NoBully,NoBully
"['napa', 'si', 'babi', 'kok', 'malah', 'ovt', 'sama', 'cewe']",Bully,Bully
"['babi', 'ga', 'ada', 'sopan', 'sopannya', 'lu']",Bully,Bully
"['pen', 'culik', 'firfirnarak', 'maaak']",NoBully,NoBully
"['hari', 'ini', 'aku', 'minum', 'susu', 'babi', 'ðÿðÿ']",NoBully,NoBully
"['omg', 'jwjwkwkask']",NoBully,NoBully
"['sumpah', 'anjing', 'punya', 'temen', 'slowrespon', 'bgt', 'babiiðÿ']",Bully,Bully
"['uang', 'ada', 'hiburan', 'yang', 'tidak', 'ada', 'babi', 'memang']",NoBully,Bully
"['thats', 'yah', 'ketahuan', 'babi']",NoBully,NoBully
"['fak', 'yu', 'alternator', 'tu', 'ganyampe', 'knock', 'sampe', 'low', 'aja', 'swehit', 'hit', 'jadi', 'pas', 'reload', 'di', 'sampah', 'babi']",NoBully,NoBully
"['nak', 'tgk', 'gak', 'babi']",NoBully,NoBully
"['wkwkwkwk', 'gapapa', 'aku', 'juga', 'star', 'soalnya', 'gak', 'kuat', 'bzir', 'coppelius', 'babi']",NoBully,NoBully
"['gondo', 'sm', 'babi', 'lt']",Bully,Bully
"['ðÿœ', 'hbd', 'ciize', 'ðÿ']",NoBully,NoBully
"['walaupun', 'cuma', 'sebagai', 'fans', 'bukan', 'faen', 'read', 'gun', 'atp', 'ðÿœ', 'jujur', 'ngerasa', 'seneng', 'banget', 'sebagai', 'babi', 'berasa', 'dihargai', 'banget', 'sama', 'offjum', 'apaapa', 'pasti', 'selalu', 'bawa', 'babi', 'makasih', 'banyak', 'ya', 'offjum', 'udah', 'selalu', 'inget', 'babi', 'amp', 'selalu', 'menghargai', 'keberadaan', 'babi', 'ðÿºðÿ']",NoBully,NoBully
"['babi', 'smua']",NoBully,NoBully
"['aku', 'penat', 'lah', 'babi']",NoBully,NoBully
"['goblok', 'natamu', 'aku', 'wes', 'sen', 'iki', 'loh', 'panas', 'banget', 'babi', 'gw', 'udah', 'minggir', 'anjing', 'kalau', 'ada', 'mobil', 'klakson', 'dsri', 'belakang', 'huhu', 'tai', 'kena', 'jalan', 'berlubang', 'asu', 'nyapose', 'banter', 'banter', 'kabeh', 'ki', 'yaallah', 'anginne', 'banter', 'men', 'nyanyi', 'mobil', 'belajaran', 'ya', 'lu', 'silau', 'men']",NoBully,NoBully
"['babi', 'orang', 'orang', 'pada', 'pacaran', 'real', 'gue', 'jg', 'mw']",NoBully,NoBully
"['lo', 'babi', 'gahar']",Bully,Bully
"['congratulations', 'namu']",NoBully,NoBully
"['babi', 'lo', 'smua']",NoBully,NoBully
"['dimana', 'nya', 'kak']",NoBully,Bully
"['zona', 'dimana', 'kak', 'aku', 'plaza', 'tenggara', 'jauh', 'y']",NoBully,NoBully
"['babi', 'cuma', 'mau', 'ngetap', 'keluar', 'doanggðÿðÿðÿµðÿðÿðÿµðÿðÿðÿµðÿ']",Bully,Bully
"['musnah', 'lo', 'bajingan', 'tolol', 'bego', 'monyet', 'bangsat', 'babi']",NoBully,Bully
"['lu', 'ngejek', 'banget', 'babi', 'ðÿðÿðÿðÿµðÿðÿµðÿðÿµðÿðÿµðÿ']",NoBully,NoBully
"['hai', 'kak', 'ini', 'dimana', 'ya']",NoBully,NoBully
['nuhuh'],NoBully,NoBully
"['mamah', 'berantem', 'sama', 'kaka', 'gara', 'gara', 'mamah', 'bilang', 'sabun', 'cuci', 'tuh', 'yg', 'ukuran', 'paling', 'habis', 'hari', 'kaka', 'gue', 'di', 'komporin', 'sama', 'sepupu', 'katanya', 'mamah', 'bilang', 'kaka', 'gue', 'numpang', 'gak', 'beliin', 'sabun', 'wkwkwk', 'sekarang', 'nyokap', 'gue', 'jantungnya', 'kumat', 'dan', 'kaka', 'gue', 'kek', 'ngerasa', 'bersalah', 'gitu', 'tai']",NoBully,NoBully
"['anjir', 'lah', 'niat', 'ngerjain', 'peta', 'malah', 'gabisa', 'terus', 'reclassify', 'eror', 'terus', 'babi']",NoBully,NoBully
"['kocak', 'emang', 'ðÿ']",NoBully,Bully
"['semangat', 'bg', 'dikit', 'lg', 'lucu']",Bully,Bully
"['makasih', 'lucu', 'tapi', 'kenapa', 'harus', 'babi', 'sihðÿâðÿ']",NoBully,NoBully
"['alah', 'pepek', 'lu', 'itu', 'host', 'kecil', 'tapi', 'problematik', 'nya', 'parah', 'dri', 'dulu', 'juga', 'play', 'victim', 'banget', 'babi']",NoBully,NoBully
"['cakep', 'bgt', 'anjir', 'jgn', 'nyenggol', 'hati', 'comelku', 'babi', 'huf', 'maaf', 'krusinh', 'trs', 'soalnya', 'ak', 'mw', 'nabung', 'anjir', 'lah', 'apa', 'mngkin']",NoBully,NoBully
"['pa', 'cahyo', 'tuh', 'enak', 'ngajarinnya', 'soalnya', 'ketawa', 'ketiwi', 'tp', 'gabisa', 'priv', 'babi']",NoBully,NoBully
"['jlek', 'bgt', 'babi', 'nangis', 'di', 'busway', 'siang', 'siang']",NoBully,NoBully
"['jadilah', 'yg', 'luar', 'biasa', 'krn', 'yg', 'biasa', 'itu', 'sudah', 'biasa']",NoBully,NoBully
"['pada', 'milih', 'babiiðÿðÿ']",NoBully,NoBully
"['walah', 'babi', 'wowowkkwkwk']",NoBully,NoBully
"['ada', 'kami', 'dc', 'nya', 'serem', 'banget', 'temen', 'gue', 'pakai', 'ada', 'kami', 'sampai', 'nelfon', 'orang', 'tuanya', 'dan', 'di', 'makimaki', 'kek', 'babi', 'dc', 'nya', 'anjir', 'mana', 'ngancem', 'pula']",NoBully,NoBully
"['morning', 'emng', 'jaekyung', 'kontol', 'babi', 'emng']",NoBully,NoBully
"['krl', 'manda', 'foto']",NoBully,NoBully
"['hari', 'ini', 'pas', 'tahun', 'aku', 'sama', 'kamu', 'heheh']",NoBully,NoBully
"['capeâ', 'ngerapihin', 'lupa', 'di', 'save', 'babi']",NoBully,NoBully
"['babiiðÿðÿðÿ', 'makasih', 'udah', 'buat', 'gw', 'ketawa']",NoBully,NoBully
"['anjing', 'axis', 'tai', 'beli', 'paket', 'suka', 'suka', 'rebu', 'gb', 'yang', 'ke', 'isi', 'gb', 'doang', 'bangsat', 'sehari', 'doang', 'ini', 'mah', 'babiiðÿ', 'ðÿ', 'ðÿ']",NoBully,NoBully
"['babi', 'baru', 'tidur', 'sebentar', 'udh', 'kena', 'nightmare', 'ðÿðÿ']",NoBully,NoBully
"['ya', 'ga', 'adaðÿjgn', 'lgsg', 'diulti', 'gitulah', 'babi']",NoBully,NoBully
"['bangsat', 'anjing', 'fuck', 'puki', 'badjingan', 'aish', 'shibal', 'babi', 'taik', 'monyed']",NoBully,NoBully
"['otak', 'anjg', 'keluar', 'dehblo', 'anjg', 'bangsat', 'bencik', 'hgt', 'gue', 'kenjaku', 'babi']",NoBully,NoBully
"['gak', 'pernah', 'takut', 'buat', 'se', 'jatuh', 'cinta', 'sama', 'og', 'sampe', 'bangga', 'bangt', 'jadi', 'babi', 'kek', 'diperhatiin', 'ortu', 'gitu', 'loh', 'of', 'si', 'paling', 'terang', 'terangan', 'dan', 'gun', 'si', 'keliatan', 'cuek', 'aslinya', 'diem', 'perhatian', 'yang', 'ditakutin', 'disini', 'diri', 'sendiri', 'yang', 'berubahninggalin', 'bukan', 'offgun', 'ðÿž']",NoBully,NoBully
['bagi'],NoBully,NoBully
"['tb', 'tb', 'nt', 'deket', 'sm', 'siapa', 'anjg', 'ga', 'cerita', 'babi']",NoBully,NoBully
"['emang', 'boleh', 'se', 'babi', 'ini']",NoBully,NoBully
"['aku', 'pernah', 'nyolong', 'pialaku', 'sendiri', 'buat', 'bawa', 'pulang', 'karena', 'pas', 'dipajang', 'di', 'sekolah', 'malah', 'nggak', 'keurus', 'ðÿ']",NoBully,NoBully
